,numero_national_de_structure,libelle,sigle,annee_de_creation,type_de_structure,code_de_type_de_structure,code_de_niveau_de_structure,site_web,adresse,code_postal,commune,nom_du_responsable,prenom_du_responsable,titre_du_responsable,label_numero,tutelles,sigles_des_tutelles,code_de_nature_de_tutelle,nature_de_tutelle,uai_des_tutelles,siret_des_tutelles,code_de_type_de_tutelle,type_de_tutelle,numero_de_structure_enfant,numero_de_structure_parent,numero_de_structure_historique,type_de_succession,code_de_type_de_succession,annee_d_effet_historique,code_domaine_scientifique,domaine_scientifique,code_panel_erc,panel_erc,fiche_rnsr,grid
27,200311817L,"France, Amériques, Espagne, Sociétés, Pouvoirs, Acteurs",FRA.M.ESPA,2001,Unité mixte,22,2,http://framespa.univ-tlse2.fr,5 allée Antonio Machado,31058,TOULOUSE CEDEX 9,VAYSSIERE;DOUSSET-SEIDEN;GODICHEAU,Bertrand;Christine;François,Directeur adjoint;Directrice adjointe;Directeur,UMR 5136;UMR 5136,Université Toulouse - Jean Jaurès;Centre national de la recherche scientifique,TOULOUSE 2;CNRS,UNIV;EPST,Université;Organismes de type EPST,0311383K;0753639Y,19311383400017;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,6,Sciences humaines et humanités,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311817L&PUBLIC=OK,
28,200511822H,Laboratoire de mathématiques et de leurs applications - Pau,LMAP,2005,Unité mixte,22,2,https://lma-umr5142.univ-pau.fr,Avenue de l'université,64013,PAU CEDEX,CARBOU,Gilles,Directeur,UMR 5142;UMR 5142;UMR 5142,Université Pau et Pays de l'Adour;Centre national de la recherche scientifique;Institut national de la recherche en informatique et automatique,PAU;CNRS;INRIA,UNIV;EPST;EPST,Université;Organismes de type EPST;Organismes de type EPST,0640251A;0753639Y;0780491K,19640251500270;18008901303720;18008904700013,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,202123948U;201120995C;200918996N;200718255S,200710692W,,,,,3;8,"Sciences de la terre et de l'univers, espace;Sciences pour l'ingénieur",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200511822H&PUBLIC=OK,grid.463907.f
29,200311838J,"Immunologie Conceptuelle, Expérimentale et Translationnelle",ImmunoConcEpT,2003,Unité mixte,22,2,https://www.immuconcept.org/,146 rue Léo Saignat,33076,BORDEAUX CEDEX,MERVILLE;BLANCO,Julie;Patrick,DR;Directeur adjoint,UMR 5164;UMR 5164,Centre national de la recherche scientifique;Université de Bordeaux,CNRS;BORDEAUX,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0333298F,18008901303720;13001835100010,TUTE;TUTE,établissement tutelle;établissement tutelle,,201119610X;201622180U,199511984C,éclatement,E,2003,5,"Biologie, médecine et santé",LS6,"Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311838J&PUBLIC=OK,
30,200511872M,"Institut de Systématique, Evolution, Biodiversité",ISYEB,2009,Unité mixte,22,2,http://www.mnhn.fr/mnhn/oseb/accueil.htm,45 Rue Buffon,75005,PARIS,DUBUISSON;GRANDCOLAS;JUSTINE;VERON,Jean-Yves;Philippe;Jean-Lou;Géraldine,DIR-ADJ;DIR;DIR-ADJ;DIR-ADJ,UMR 7205;UMR 7205;UMR 7205;UMR 7205;UMR 7205;UMR 7205,Ecole Pratique des Hautes Etudes Paris;Muséum National d'Histoire Naturelle Paris;Centre national de la recherche scientifique;Sorbonne Université;Université Paris sciences et lettres;Institut de recherche pour le developpement,EPHE PARIS;MUSEUM PARIS;CNRS;SORBONNE UNIV.;PSL;IRD,AUT_ETAB;AUT_ETAB;EPST;UNIV;UNIV;EPST,Autres établissements ESR;Autres établissements ESR;Organismes de type EPST;Université;Université;Organismes de type EPST,0753486G;0753494R;0753639Y;0755890V;0756036D;0133973Y,19753486000105;18004417400019;18008901303720;13002338500011;13002614900018;18000602500159,TUTE;TUTE;TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,,,,,,10,Sciences agronomiques et écologiques,LS9;LS8,"Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200511872M&PUBLIC=OK,grid.463994.5
31,200711891Z,Laboratoire Jean Kuntzmann,LJK,2006,Unité mixte,22,2,http://ljk.imag.fr,Bätiment IMAG UGA CS 40700,38058,GRENOBLE CEDEX 9,DUMAS;DUMAS;LECLERQ-SAMSON,Jean-Guillaume;Jean-Guillaume;Adeline,Directeur;Directeur;Directrice adjointe,UMR 5224;UMR 5224;UMR 5224;UMR 5224,Institut polytechnique de Grenoble;Centre national de la recherche scientifique;Université Grenoble Alpes;Institut national de la recherche en informatique et automatique,GRENOBLE INP;CNRS;GRENOBLE ALPES;INRIA,AUT_ETAB;EPST;UNIV;EPST,Autres établissements ESR;Organismes de type EPST;Université;Organismes de type EPST,0381912X;0753639Y;0383546Y;0780491K,19381912500017;18008901303720;13002608100013;18008904700013,TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,202023598T;202023582A;201622034K;201221005J;201221003G;201120981M;201020763E;200820953V;200818261U;200818259S;200711891Z;200618276U;200418269V;200318260P;200218264Y;200218263X,200711891Z,200314970N;199511971N;199511967J,éclatement - fusion;éclatement - fusion;éclatement - fusion,EF;EF;EF,2007;2007;2007,1;8;9,Mathématiques et leurs interactions;Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication,PE1;PE6,"Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711891Z&PUBLIC=OK,grid.464181.e
32,200112451J,"Biologie, Bioingénierie et Bioimagerie Ostéo-articulaires",B3OA,2001,Unité mixte,22,2,http://www.b2oa.eu,10 Av de Verdun,75010,PARIS,NIZARD;PETITE,Rémy;Hervé,Dir. Adjoint;DIR,UMR 7052;U 1271;UMR 7052;UMR 7052,Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Université de Paris;Ecole Nationale Vétérinaire Maisons-Alfort,CNRS;INSERM;U PARIS;E.N.VETERIN.M.A,EPST;EPST;UNIV;AUT_ETAB,Organismes de type EPST;Organismes de type EPST;Université;Autres établissements ESR,0753639Y;0755364Y;0755976N;0940608A,18008901303720;18003604800015;13002573700011;19940608300014,TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,,199716736J,éclatement,E,2001,5;8,"Biologie, médecine et santé;Sciences pour l'ingénieur",LS7,"Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200112451J&PUBLIC=OK,grid.503318.c
33,199911662K,LABORATOIRE DE MICROBIOLOGIE ET GENETIQUE MOLECULAIRES,LMGM,1999,Unité mixte,22,2,http://www-lmgm.biotoul.fr//,118 route de Narbonne,31062,TOULOUSE CEDEX 9,POLARD,Patrice,DIR,UMR 5100;UMR 5100,Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique,TOULOUSE 3;CNRS,UNIV;EPST,Université;Organismes de type EPST,0311384L;0753639Y,19311384200010;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,201622188C,,,,,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911662K&PUBLIC=OK,grid.462867.9
34,199911704F,CENTRE D' ÉNERGÉTIQUE ET DE THERMIQUE DE LYON,CETHIL,1999,Unité mixte,22,2,http://cethil.insa-lyon.fr,Domaine Scientifique de La Doua,69621,VILLEURBANNE CEDEX,KUZNIK,Frédéric,DIR,UMR 5008;UMR 5008;UMR 5008,Institut National des Sciences Appliquées Lyon;Université Claude Bernard Lyon 1;Centre national de la recherche scientifique,INSA LYON;LYON 1;CNRS,AUT_ETAB;UNIV;EPST,Autres établissements ESR;Université;Organismes de type EPST,0690192J;0691774D;0753639Y,19690192000013;19691774400019;18008901303720,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,201119599K,,,,,8,Sciences pour l'ingénieur,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911704F&PUBLIC=OK,grid.503127.2
35,199511717M,LABORATOIRE D'ETUDE DE L'APPRENTISSAGE ET DU DEVELOPPEMENT - UMR 5022,LEAD,1989,Unité mixte,22,2,http://leadserv.u-bourgogne.fr/,Pôle AAFE - 11 Esplanade Erasme - BP 26513,21065,DIJON CEDEX,POULIN-CHARRONNAT;VINTER,Bénédicte;Annie,Directrice;Directrice Adjointe,UMR 5022;UMR 5022;,Université Bourgogne Dijon;Centre national de la recherche scientifique;Université Bourgogne Franche-Comté,DIJON;CNRS;UBFC,UNIV;EPST;SITE,Université;Organismes de type EPST;Site,0211237F;0753639Y;0251985X,19211237300019;18008901303720;13002091000019,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,,,,,6,Sciences humaines et humanités,PE6;SH4;PE7,"Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy;Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511717M&PUBLIC=OK,grid.483515.e
36,199612385J,LABORATOIRE D'ACOUSTIQUE DE L'UNIVERSITE DU MANS,LAUM,1996,Unité mixte,22,2,http://laum.univ-lemans.fr,Université du Mans avenue Olivier Messiaen,72085,LE MANS CEDEX 9,DAZEL;PICART;FELIX,Olivier;Pascal;Simon,DIR;DIR-ADJ;DIR-ADJ,UMR 6613;UMR 6613;,Le Mans Université;Centre national de la recherche scientifique;Ecole Supérieure d'Electronique de l'Ouest (campus d'Angers),LE MANS;CNRS;ESEO,UNIV;EPST;AUT_ETAB,Université;Organismes de type EPST;Autres établissements ESR,0720916E;0753639Y;0490075R,19720916600010;18008901303720;78611671500065,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,8,Sciences pour l'ingénieur,PE3,"Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612385J&PUBLIC=OK,
37,199612386K,COMPLEXE DE RECHERCHE INTERPROFESSIONNEL EN AEROTHERMOCHIMIE,CORIA,1996,Unité mixte,22,2,http://www.coria.fr,685 Avenue de l'Université,76801,ST ETIENNE DU ROUVRAY CEDEX,ROZE;CESSOU,Claude;Armelle,DIR-ADJ;DIR,UMR 6614;UMR 6614;UMR 6614,Institut National des Sciences Appliquées Rouen;Université Rouen;Centre national de la recherche scientifique,INSA ROUEN;ROUEN;CNRS,AUT_ETAB;UNIV;EPST,Autres établissements ESR;Université;Organismes de type EPST,0760165S;0761904G;0753639Y,19760165100023;19761904200017;18008901303720,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,8,Sciences pour l'ingénieur,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612386K&PUBLIC=OK,grid.462587.a
38,199612396W,INSTITUT DE RECHERCHE MATHEMATIQUE DE RENNES,IRMAR,1996,Unité mixte,22,2,http://irmar.univ-rennes1.fr/,263 avenue du Général Leclerc,35042,RENNES CEDEX,GRADINARU;BOUCHER,Mihai;Delphine,directeur;directrice-adjointe,UMR 6625;UMR 6625;UMR 6625;UMR 6625;UMR 6625;UMR 6625;UMR 6625,Institut National des Sciences Appliquées Rennes;Université Rennes 1;Université Rennes 2;Centre national de la recherche scientifique;Ecole normale supérieure de Rennes;Institut national de la recherche en informatique et automatique;Agrocampus Ouest,INSA RENNES;RENNES 1;RENNES 2;CNRS;ENS RENNES;INRIA;AGROCAMPUS OUEST,AUT_ETAB;UNIV;UNIV;EPST;AUT_ETAB;EPST;AUT_ETAB,Autres établissements ESR;Université;Université;Organismes de type EPST;Autres établissements ESR;Organismes de type EPST;Autres établissements ESR,0350097R;0350936C;0350937D;0753639Y;0352440M;0780491K;0352692L,19350097200016;19350936100013;19350937900015;18008901303720;13001848400019;18008904700013;13000512700019,TUTE;TUTE;TUTE;TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant,200919001U;200518358M;200418360U,,,,,,1,Mathématiques et leurs interactions,PE1,"Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612396W&PUBLIC=OK,grid.469499.f
39,200112415V,Institut de Science et d'Ingénierie Supramoléculaires (UMR 7006),ISIS,2001,Unité mixte,22,2,http://isis.unistra.fr,8 Allée Gaspard Monge,67083,STRASBOURG CEDEX,SAMORI,Paolo,DIR,UMR 7006;UMR 7006,Centre national de la recherche scientifique;Université Strasbourg,CNRS;U. STRASBOURG,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0673021V,18008901303720;13000545700010,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,4;8;9,Chimie;Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200112415V&PUBLIC=OK,grid.483413.9
40,199912418G,Laboratoire de Biologie du développement de Villefranche-sur-Mer,LBDV,1999,Unité mixte,22,2,http://biodev.obs-vlfr.fr,Stat.zoologique-Port de la Darse,06234,VILLEFRANCHE SUR MER CEDEX,MCDOUGALL,Alex,DIR,UMR 7009;UMR 7009,Centre national de la recherche scientifique;Sorbonne Université,CNRS;SORBONNE UNIV.,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0755890V,18008901303720;13002338500011,TUTE;TUTE,établissement tutelle;établissement tutelle,199320514H,199320514H,,,,,10,Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199912418G&PUBLIC=OK,grid.463888.9
41,200112440X,Centre de recherche en automatique de Nancy,CRAN,2001,Unité mixte,22,2,http://www.cran.univ-lorraine.fr/,Boulevard des Aiguillettes,54506,VANDOEUVRE LES NANCY CEDEX,DIVOUX;WOLF;MILLERIOUX,Thierry;Didier;Gilles,DIR-ADJ;DIR;DIR-ADJ,UMR 7039;UMR 7039,Centre national de la recherche scientifique;Université de Lorraine,CNRS;LORRAINE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0542493S,18008901303720;13001550600012,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,5;8;9,"Biologie, médecine et santé;Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication",PE7;PE6;LS5;LS7,"Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200112440X&PUBLIC=OK,grid.462787.8
42,200812294H,"IDENTITE ET DIFFERENCIATION DE L'ESPACE, DE L'ENVIRONNEMENT ET DES SOCIETES",IDEES,2008,Unité mixte,22,2,http://www.umr-idees.fr/,7 rue Thomas Becket,76821,MONT ST AIGNAN CEDEX,DE RUFFRAY;MOURALIS,Sophie;DAMASE,DIR;DIR-ADJ,UMR 6266;UMR 6266;UMR 6266;UMR 6266,Université de Caen Normandie;Université Rouen;Université Le Havre;Centre national de la recherche scientifique,CAEN;ROUEN;LE HAVRE;CNRS,UNIV;UNIV;UNIV;EPST,Université;Université;Université;Organismes de type EPST,0141408E;0761904G;0762762P;0753639Y,19141408500016;19761904200017;19762762300097;18008901303720,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,200810763U,,,,,6;7,Sciences humaines et humanités;Sciences de la société,SH2;SH3;SH6;SH4,"Institutions, Governance and Legal Systems : Political science, international relations, law;The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;The Study of the Human Past : Archaeology and history;The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200812294H&PUBLIC=OK,grid.463859.5
